"id","name","standard","version","framework","severity","geo_regions","paths_count","paths"
"betting.au_iga_no_prohibited_services","AU IGA No Prohibited Services","AU IGA","current","gatekeeper","medium","Global","2","policies/betting/au_iga_no_prohibited_services/policy.rego;policies/betting/au_iga_no_prohibited_services/policy_test.rego"
"betting.complaints_process_published","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/betting/complaints_process_published/policy.rego;policies/betting/complaints_process_published/policy_test.rego"
"betting.credit_card_gambling_ban_uk","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/betting/credit_card_gambling_ban_uk/policy.rego;policies/betting/credit_card_gambling_ban_uk/policy_test.rego"
"betting.data_integrity_audits","Data Integrity Audits","Integrity","current","other","medium","Global","2","policies/betting/data_integrity_audits/policy.rego;policies/betting/data_integrity_audits/policy_test.rego"
"betting.deposit_limit_controls","Deposit Limit Controls","UK GC / EU AMLD","current","gatekeeper","medium","Global","2","policies/betting/deposit_limit_controls/policy.rego;policies/betting/deposit_limit_controls/policy_test.rego"
"betting.game_rules_visible_before_play","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/betting/game_rules_visible_before_play/policy.rego;policies/betting/game_rules_visible_before_play/policy_test.rego"
"betting.geofencing_regulated_markets","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/betting/geofencing_regulated_markets/policy.rego;policies/betting/geofencing_regulated_markets/policy_test.rego"
"betting.in_play_delay_controls","In-Play Delay Controls","UKGC/MGA","current","other","medium","Europe","2","policies/betting/in_play_delay_controls/policy.rego;policies/betting/in_play_delay_controls/policy_test.rego"
"betting.kyc_on_withdrawal","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/betting/kyc_on_withdrawal/policy.rego;policies/betting/kyc_on_withdrawal/policy_test.rego"
"betting.kyc_onboarding","KYC Onboarding","EU AMLD / UKGC","current","other","medium","Europe","2","policies/betting/kyc_onboarding/policy.rego;policies/betting/kyc_onboarding/policy_test.rego"
"betting.license_check_adm_it","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/betting/license_check_adm_it/policy.rego;policies/betting/license_check_adm_it/policy_test.rego"
"betting.license_check_agco_on","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/betting/license_check_agco_on/policy.rego;policies/betting/license_check_agco_on/policy_test.rego"
"betting.license_check_anj_fr","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/betting/license_check_anj_fr/policy.rego;policies/betting/license_check_anj_fr/policy_test.rego"
"betting.license_check_au_nt","License Check — AU Northern Territory","NT Racing Commission","current","other","high","APAC","2","policies/betting/license_check_au_nt/policy.rego;policies/betting/license_check_au_nt/policy_test.rego"
"betting.license_check_brazil_14790","License Check — Brazil 14.790/2023","Lei 14.790/2023","current","other","high","LatAm","2","policies/betting/license_check_brazil_14790/policy.rego;policies/betting/license_check_brazil_14790/policy_test.rego"
"betting.license_check_ca_on_igaming","License Check — Ontario iGaming","AGCO/iGO","current","other","high","North America","2","policies/betting/license_check_ca_on_igaming/policy.rego;policies/betting/license_check_ca_on_igaming/policy_test.rego"
"betting.license_check_coljuegos_co","License Check — Coljuegos (CO)","Coljuegos","current","other","high","LatAm","2","policies/betting/license_check_coljuegos_co/policy.rego;policies/betting/license_check_coljuegos_co/policy_test.rego"
"betting.license_check_dgoj_es","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/betting/license_check_dgoj_es/policy.rego;policies/betting/license_check_dgoj_es/policy_test.rego"
"betting.license_check_ggl_de","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/betting/license_check_ggl_de/policy.rego;policies/betting/license_check_ggl_de/policy_test.rego"
"betting.license_check_gra_sg","License Check — GRA (SG)","GRA (SG)","current","other","high","APAC","2","policies/betting/license_check_gra_sg/policy.rego;policies/betting/license_check_gra_sg/policy_test.rego"
"betting.license_check_ksa_nl","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/betting/license_check_ksa_nl/policy.rego;policies/betting/license_check_ksa_nl/policy_test.rego"
"betting.license_check_mga","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/betting/license_check_mga/policy.rego;policies/betting/license_check_mga/policy_test.rego"
"betting.license_check_spelinspektionen_se","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/betting/license_check_spelinspektionen_se/policy.rego;policies/betting/license_check_spelinspektionen_se/policy_test.rego"
"betting.license_check_spillemyndigheden_dk","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/betting/license_check_spillemyndigheden_dk/policy.rego;policies/betting/license_check_spillemyndigheden_dk/policy_test.rego"
"betting.license_check_ukgc","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/betting/license_check_ukgc/policy.rego;policies/betting/license_check_ukgc/policy_test.rego"
"betting.license_check_us_co_division","License Check — CO Division","Colorado Division","current","other","high","North America","2","policies/betting/license_check_us_co_division/policy.rego;policies/betting/license_check_us_co_division/policy_test.rego"
"betting.license_check_us_nj_dge","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/betting/license_check_us_nj_dge/policy.rego;policies/betting/license_check_us_nj_dge/policy_test.rego"
"betting.license_check_us_nv_ngcb","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/betting/license_check_us_nv_ngcb/policy.rego;policies/betting/license_check_us_nv_ngcb/policy_test.rego"
"betting.license_check_us_pa_pgcb","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/betting/license_check_us_pa_pgcb/policy.rego;policies/betting/license_check_us_pa_pgcb/policy_test.rego"
"betting.loss_limit_controls","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/betting/loss_limit_controls/policy.rego;policies/betting/loss_limit_controls/policy_test.rego"
"betting.market_restrictions_youth","Market Restrictions — Youth/Underage","FR/Other EU","current","other","high","Europe","2","policies/betting/market_restrictions_youth/policy.rego;policies/betting/market_restrictions_youth/policy_test.rego"
"betting.match_fixing_monitoring","Match-Fixing Monitoring","Integrity","current","other","medium","Global","2","policies/betting/match_fixing_monitoring/policy.rego;policies/betting/match_fixing_monitoring/policy_test.rego"
"betting.no_bets_by_participants","No Bets By Participants","Leagues/Regulators","current","other","high","Global","2","policies/betting/no_bets_by_participants/policy.rego;policies/betting/no_bets_by_participants/policy_test.rego"
"betting.official_data_only","Official Data Only","State/League Rules","current","other","medium","Global","2","policies/betting/official_data_only/policy.rego;policies/betting/official_data_only/policy_test.rego"
"betting.ongoing_aml_monitoring","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/betting/ongoing_aml_monitoring/policy.rego;policies/betting/ongoing_aml_monitoring/policy_test.rego"
"betting.player_funds_segregation","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/betting/player_funds_segregation/policy.rego;policies/betting/player_funds_segregation/policy_test.rego"
"betting.reality_checks_elapsed_time","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/betting/reality_checks_elapsed_time/policy.rego;policies/betting/reality_checks_elapsed_time/policy_test.rego"
"betting.reverse_withdrawal_ban_uk","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/betting/reverse_withdrawal_ban_uk/policy.rego;policies/betting/reverse_withdrawal_ban_uk/policy_test.rego"
"betting.rng_certification_gli11","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/betting/rng_certification_gli11/policy.rego;policies/betting/rng_certification_gli11/policy_test.rego"
"betting.rtp_disclosure_to_players","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/betting/rtp_disclosure_to_players/policy.rego;policies/betting/rtp_disclosure_to_players/policy_test.rego"
"betting.safer_gambling_interactions","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/betting/safer_gambling_interactions/policy.rego;policies/betting/safer_gambling_interactions/policy_test.rego"
"betting.sanctions_screening_global","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/betting/sanctions_screening_global/policy.rego;policies/betting/sanctions_screening_global/policy_test.rego"
"betting.self_exclusion_de_oasis","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/betting/self_exclusion_de_oasis/policy.rego;policies/betting/self_exclusion_de_oasis/policy_test.rego"
"betting.self_exclusion_dk_rofus","Self-exclusion (ROFUS - Denmark)","other","current","other","medium","Europe","2","policies/betting/self_exclusion_dk_rofus/policy.rego;policies/betting/self_exclusion_dk_rofus/policy_test.rego"
"betting.self_exclusion_es_rgiaj","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/betting/self_exclusion_es_rgiaj/policy.rego;policies/betting/self_exclusion_es_rgiaj/policy_test.rego"
"betting.self_exclusion_nl_cruks","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/betting/self_exclusion_nl_cruks/policy.rego;policies/betting/self_exclusion_nl_cruks/policy_test.rego"
"betting.self_exclusion_on_igaming","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/betting/self_exclusion_on_igaming/policy.rego;policies/betting/self_exclusion_on_igaming/policy_test.rego"
"betting.self_exclusion_se_spelpaus","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/betting/self_exclusion_se_spelpaus/policy.rego;policies/betting/self_exclusion_se_spelpaus/policy_test.rego"
"betting.self_exclusion_uk_gamstop","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/betting/self_exclusion_uk_gamstop/policy.rego;policies/betting/self_exclusion_uk_gamstop/policy_test.rego"
"betting.session_time_limits_controls","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/betting/session_time_limits_controls/policy.rego;policies/betting/session_time_limits_controls/policy_test.rego"
"betting.slots_min_spin_speed_uk","Slots Minimum Spin Speed (UK)","UKGC Slots Design","current","gatekeeper","medium","Global","2","policies/betting/slots_min_spin_speed_uk/policy.rego;policies/betting/slots_min_spin_speed_uk/policy_test.rego"
"betting.slots_no_autoplay_uk","Slots No Autoplay (UK)","UKGC Slots Design","current","gatekeeper","medium","Global","2","policies/betting/slots_no_autoplay_uk/policy.rego;policies/betting/slots_no_autoplay_uk/policy_test.rego"
"betting.slots_no_losses_disguised_as_wins","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/betting/slots_no_losses_disguised_as_wins/policy.rego;policies/betting/slots_no_losses_disguised_as_wins/policy_test.rego"
"betting.source_of_funds_checks","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/betting/source_of_funds_checks/policy.rego;policies/betting/source_of_funds_checks/policy_test.rego"
"betting.source_of_funds_thresholds","Source of Funds — Thresholds","UKGC","current","other","medium","Europe","2","policies/betting/source_of_funds_thresholds/policy.rego;policies/betting/source_of_funds_thresholds/policy_test.rego"
"betting.suspicious_betting_reporting_uk","Suspicious Betting — Reporting (UK)","UKGC","current","other","medium","Europe","2","policies/betting/suspicious_betting_reporting_uk/policy.rego;policies/betting/suspicious_betting_reporting_uk/policy_test.rego"
"betting.txn_monitoring_anomalies","Transaction Monitoring — Anomalies","AML","current","other","medium","Global","2","policies/betting/txn_monitoring_anomalies/policy.rego;policies/betting/txn_monitoring_anomalies/policy_test.rego"
"edtech.au_app_11_security_edtech","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/edtech/au_app_11_security_edtech/policy.rego;policies/edtech/au_app_11_security_edtech/policy_test.rego"
"edtech.au_app_5_notice_edtech","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/edtech/au_app_5_notice_edtech/policy.rego;policies/edtech/au_app_5_notice_edtech/policy_test.rego"
"edtech.au_ndb_breach_notification_edtech","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/edtech/au_ndb_breach_notification_edtech/policy.rego;policies/edtech/au_ndb_breach_notification_edtech/policy_test.rego"
"edtech.br_lgpd_children_consent_best_interest","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/edtech/br_lgpd_children_consent_best_interest/policy.rego;policies/edtech/br_lgpd_children_consent_best_interest/policy_test.rego"
"edtech.ca_pipeda_consent_edtech","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/edtech/ca_pipeda_consent_edtech/policy.rego;policies/edtech/ca_pipeda_consent_edtech/policy_test.rego"
"edtech.ca_sopipa_no_sale_of_student_data","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/edtech/ca_sopipa_no_sale_of_student_data/policy.rego;policies/edtech/ca_sopipa_no_sale_of_student_data/policy_test.rego"
"edtech.ca_sopipa_no_targeted_advertising","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/edtech/ca_sopipa_no_targeted_advertising/policy.rego;policies/edtech/ca_sopipa_no_targeted_advertising/policy_test.rego"
"edtech.co_student_data_transparency","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/edtech/co_student_data_transparency/policy.rego;policies/edtech/co_student_data_transparency/policy_test.rego"
"edtech.coppa_data_minimization","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/edtech/coppa_data_minimization/policy.rego;policies/edtech/coppa_data_minimization/policy_test.rego"
"edtech.coppa_delete_on_parent_request","COPPA Deletion on Parent Request","COPPA","current","gatekeeper","medium","Global","2","policies/edtech/coppa_delete_on_parent_request/policy.rego;policies/edtech/coppa_delete_on_parent_request/policy_test.rego"
"edtech.coppa_parental_consent_under_13","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/edtech/coppa_parental_consent_under_13/policy.rego;policies/edtech/coppa_parental_consent_under_13/policy_test.rego"
"edtech.ct_student_data_privacy","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/edtech/ct_student_data_privacy/policy.rego;policies/edtech/ct_student_data_privacy/policy_test.rego"
"edtech.edtech_access_least_privilege","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/edtech/edtech_access_least_privilege/policy.rego;policies/edtech/edtech_access_least_privilege/policy_test.rego"
"edtech.edtech_audit_logs_student_record_access","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/edtech/edtech_audit_logs_student_record_access/policy.rego;policies/edtech/edtech_audit_logs_student_record_access/policy_test.rego"
"edtech.edtech_encryption_at_rest","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/edtech/edtech_encryption_at_rest/policy.rego;policies/edtech/edtech_encryption_at_rest/policy_test.rego"
"edtech.edtech_encryption_in_transit","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/edtech/edtech_encryption_in_transit/policy.rego;policies/edtech/edtech_encryption_in_transit/policy_test.rego"
"edtech.edtech_retention_after_course_completion","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/edtech/edtech_retention_after_course_completion/policy.rego;policies/edtech/edtech_retention_after_course_completion/policy_test.rego"
"edtech.eu_dpia_high_risk_edtech","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/edtech/eu_dpia_high_risk_edtech/policy.rego;policies/edtech/eu_dpia_high_risk_edtech/policy_test.rego"
"edtech.eu_eprivacy_cookie_consent_edtech","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/edtech/eu_eprivacy_cookie_consent_edtech/policy.rego;policies/edtech/eu_eprivacy_cookie_consent_edtech/policy_test.rego"
"edtech.eu_gdpr_minors_consent_education","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/edtech/eu_gdpr_minors_consent_education/policy.rego;policies/edtech/eu_gdpr_minors_consent_education/policy_test.rego"
"edtech.eu_scc_transfers_edplatform","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/edtech/eu_scc_transfers_edplatform/policy.rego;policies/edtech/eu_scc_transfers_edplatform/policy_test.rego"
"edtech.ferpa_consent_or_exception_for_disclosure","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/edtech/ferpa_consent_or_exception_for_disclosure/policy.rego;policies/edtech/ferpa_consent_or_exception_for_disclosure/policy_test.rego"
"edtech.ferpa_directory_info_optout_respected","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/edtech/ferpa_directory_info_optout_respected/policy.rego;policies/edtech/ferpa_directory_info_optout_respected/policy_test.rego"
"edtech.ferpa_parent_access_rights","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/edtech/ferpa_parent_access_rights/policy.rego;policies/edtech/ferpa_parent_access_rights/policy_test.rego"
"edtech.il_soppa_breach_notification","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/edtech/il_soppa_breach_notification/policy.rego;policies/edtech/il_soppa_breach_notification/policy_test.rego"
"edtech.in_dpdpa_children_verifiable_consent","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/edtech/in_dpdpa_children_verifiable_consent/policy.rego;policies/edtech/in_dpdpa_children_verifiable_consent/policy_test.rego"
"edtech.kr_pipa_guardian_consent_under_14","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/edtech/kr_pipa_guardian_consent_under_14/policy.rego;policies/edtech/kr_pipa_guardian_consent_under_14/policy_test.rego"
"edtech.ny_edlaw2d_encryption_and_contracts","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/edtech/ny_edlaw2d_encryption_and_contracts/policy.rego;policies/edtech/ny_edlaw2d_encryption_and_contracts/policy_test.rego"
"edtech.nz_notice_at_collection_edtech","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/edtech/nz_notice_at_collection_edtech/policy.rego;policies/edtech/nz_notice_at_collection_edtech/policy_test.rego"
"edtech.ppra_parental_consent_sensitive_surveys","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/edtech/ppra_parental_consent_sensitive_surveys/policy.rego;policies/edtech/ppra_parental_consent_sensitive_surveys/policy_test.rego"
"edtech.uk_aadc_privacy_by_default","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/edtech/uk_aadc_privacy_by_default/policy.rego;policies/edtech/uk_aadc_privacy_by_default/policy_test.rego"
"edtech.uk_aadc_profiling_and_geolocation_off","<Policy Title>","<Standard or Regulation>","<version or ""current"">","gatekeeper","medium","Global","2","policies/edtech/uk_aadc_profiling_and_geolocation_off/policy.rego;policies/edtech/uk_aadc_profiling_and_geolocation_off/policy_test.rego"
"fintech.aml_account_freeze_on_hit","AML Account Freeze On Sanctions Hit","EU AMLD / FATF","current","gatekeeper","medium","Global","2","policies/fintech/aml_account_freeze_on_hit/policy.rego;policies/fintech/aml_account_freeze_on_hit/policy_test.rego"
"fintech.aml_adverse_media_screening","AML Adverse Media Screening","EU AMLD / FATF","current","gatekeeper","medium","Global","2","policies/fintech/aml_adverse_media_screening/policy.rego;policies/fintech/aml_adverse_media_screening/policy_test.rego"
"fintech.aml_customer_risk_tiering","AML Customer Risk Tiering","EU AMLD / FATF","current","gatekeeper","medium","Global","2","policies/fintech/aml_customer_risk_tiering/policy.rego;policies/fintech/aml_customer_risk_tiering/policy_test.rego"
"fintech.aml_duplicate_account_detection","AML Duplicate Account Detection","EU AMLD / FATF","current","gatekeeper","medium","Global","2","policies/fintech/aml_duplicate_account_detection/policy.rego;policies/fintech/aml_duplicate_account_detection/policy_test.rego"
"fintech.aml_geolocation_restrictions","AML Geolocation Restrictions","EU AMLD / FATF","current","gatekeeper","medium","Global","2","policies/fintech/aml_geolocation_restrictions/policy.rego;policies/fintech/aml_geolocation_restrictions/policy_test.rego"
"fintech.aml_manual_review_queue","AML Manual Review Queue","EU AMLD / FATF","current","gatekeeper","medium","Global","2","policies/fintech/aml_manual_review_queue/policy.rego;policies/fintech/aml_manual_review_queue/policy_test.rego"
"fintech.aml_ongoing_monitoring","AML Ongoing Monitoring","EU AMLD / FATF","current","gatekeeper","medium","Global","2","policies/fintech/aml_ongoing_monitoring/policy.rego;policies/fintech/aml_ongoing_monitoring/policy_test.rego"
"fintech.aml_pep_periodic_review","AML PEP Periodic Review","EU AMLD / FATF","current","gatekeeper","medium","Global","2","policies/fintech/aml_pep_periodic_review/policy.rego;policies/fintech/aml_pep_periodic_review/policy_test.rego"
"fintech.aml_pep_screening","AML PEP Screening","EU AMLD / FATF","current","gatekeeper","medium","Global","2","policies/fintech/aml_pep_screening/policy.rego;policies/fintech/aml_pep_screening/policy_test.rego"
"fintech.aml_risk_scoring_model","AML Risk Scoring Model","EU AMLD / FATF","current","gatekeeper","medium","Global","2","policies/fintech/aml_risk_scoring_model/policy.rego;policies/fintech/aml_risk_scoring_model/policy_test.rego"
"fintech.aml_sanctions_rescreening_frequency","AML Sanctions Re-Screening Frequency","EU AMLD / FATF","current","gatekeeper","medium","Global","2","policies/fintech/aml_sanctions_rescreening_frequency/policy.rego;policies/fintech/aml_sanctions_rescreening_frequency/policy_test.rego"
"fintech.aml_sanctions_screening","AML Sanctions Screening","EU AMLD / FATF","current","gatekeeper","medium","Global","2","policies/fintech/aml_sanctions_screening/policy.rego;policies/fintech/aml_sanctions_screening/policy_test.rego"
"fintech.aml_transaction_velocity_limits","AML Transaction Velocity Limits","EU AMLD / FATF","current","gatekeeper","medium","Global","2","policies/fintech/aml_transaction_velocity_limits/policy.rego;policies/fintech/aml_transaction_velocity_limits/policy_test.rego"
"fintech.aml_unusual_activity_alerting","AML Unusual Activity Alerting","EU AMLD / FATF","current","gatekeeper","medium","Global","2","policies/fintech/aml_unusual_activity_alerting/policy.rego;policies/fintech/aml_unusual_activity_alerting/policy_test.rego"
"fintech.aml_watchlist_management","AML Watchlist Management","EU AMLD / FATF","current","gatekeeper","medium","Global","2","policies/fintech/aml_watchlist_management/policy.rego;policies/fintech/aml_watchlist_management/policy_test.rego"
"fintech.bitlicense_compliance","NYDFS BitLicense Compliance","NYDFS","current","gatekeeper","medium","North America","2","policies/fintech/bitlicense_compliance/policy.rego;policies/fintech/bitlicense_compliance/policy_test.rego"
"fintech.card_tokenization_required","Card Tokenization Required","PCI / EMVCo","current","gatekeeper","medium","Global","2","policies/fintech/card_tokenization_required/policy.rego;policies/fintech/card_tokenization_required/policy_test.rego"
"fintech.chain_analysis_risk_controls","Blockchain Analytics Risk Controls","FATF","current","gatekeeper","medium","Global","2","policies/fintech/chain_analysis_risk_controls/policy.rego;policies/fintech/chain_analysis_risk_controls/policy_test.rego"
"fintech.chargeback_monitoring","Chargeback Monitoring","Card Schemes","current","gatekeeper","medium","Global","2","policies/fintech/chargeback_monitoring/policy.rego;policies/fintech/chargeback_monitoring/policy_test.rego"
"fintech.cold_storage_ratio","Cold Storage Ratio","Security","current","gatekeeper","medium","Global","2","policies/fintech/cold_storage_ratio/policy.rego;policies/fintech/cold_storage_ratio/policy_test.rego"
"fintech.custody_asset_segregation","Custody Asset Segregation","Custody","current","gatekeeper","medium","Global","2","policies/fintech/custody_asset_segregation/policy.rego;policies/fintech/custody_asset_segregation/policy_test.rego"
"fintech.device_fingerprinting","Device Fingerprinting","Fraud","current","gatekeeper","medium","Global","2","policies/fintech/device_fingerprinting/policy.rego;policies/fintech/device_fingerprinting/policy_test.rego"
"fintech.fapi_compliance","FAPI Compliance","FAPI","current","gatekeeper","medium","Global","2","policies/fintech/fapi_compliance/policy.rego;policies/fintech/fapi_compliance/policy_test.rego"
